item_type,provider_type,title,product_name,detail_url,product_url,category_name,subcategory_name,brand,reference,sku,vehicle_scope,match_type,match_confidence
category,category_only,Productos,,https://www.importadoraeurobrasil.com/productos/,,Productos,,,,,,category_only,medium
product,product_catalog,,Axial/Arandela del Cigüeñal para CITROEN JUMPY 2.0,https://www.importadoraeurobrasil.com/producto/axial-arandela-del-ciguenal-para-citroen-jumpy-2-0/,https://www.importadoraeurobrasil.com/producto/axial-arandela-del-ciguenal-para-citroen-jumpy-2-0/,,,MAHLE,,,Autos,category_only,medium
product,product_catalog,,Alternador del Regulador Adaptable a IVECO 3510,https://www.importadoraeurobrasil.com/producto/alternador-regulador-adaptable-a-iveco-3510/,https://www.importadoraeurobrasil.com/producto/alternador-regulador-adaptable-a-iveco-3510/,,,UNIPOINT,,,Autos,category_only,medium
product,product_catalog,,Amortiguador Delantero para JUMPER III CORVEN,https://www.importadoraeurobrasil.com/producto/amortiguador-delantero-para-jumper-iii/,https://www.importadoraeurobrasil.com/producto/amortiguador-delantero-para-jumper-iii/,,,CORVEN,,,Autos,category_only,medium
product,product_catalog,,Amortiguador Delantero para JUMPER III MAGNETI MARELLI,https://www.importadoraeurobrasil.com/producto/amortiguador-delantero-para-jumper-iii-magneti-marelli/,https://www.importadoraeurobrasil.com/producto/amortiguador-delantero-para-jumper-iii-magneti-marelli/,,,Magneti Marelli,,,Autos,category_only,medium
product,product_catalog,,Anillos en Medida Estandar para FIAT ARGO / MOBI,https://www.importadoraeurobrasil.com/producto/anillos-en-medida-estandar-para-fiat-argo-mobi/,https://www.importadoraeurobrasil.com/producto/anillos-en-medida-estandar-para-fiat-argo-mobi/,,,MAHLE A0251019 STD,,,Autos,category_only,medium
product,product_catalog,,Árbol de Levas de Escape para JUMPER 2.2,https://www.importadoraeurobrasil.com/producto/arbol-de-levas-de-escape-para-citroen-2-2/,https://www.importadoraeurobrasil.com/producto/arbol-de-levas-de-escape-para-citroen-2-2/,,,a la que aplica,,,Autos,category_only,medium
product,product_catalog,,Articulacion Axial para JUMPER 2.0 / 2.2 / 3.0,https://www.importadoraeurobrasil.com/producto/articulacion-axial-citroen-jumper/,https://www.importadoraeurobrasil.com/producto/articulacion-axial-citroen-jumper/,,,a la que aplica,,,Autos,category_only,medium
product,product_catalog,,Axial de Dirección para V.W. AMAROK 2.0,https://www.importadoraeurobrasil.com/producto/axial-de-direccion-para-v-w-amarok-2-0/,https://www.importadoraeurobrasil.com/producto/axial-de-direccion-para-v-w-amarok-2-0/,,,Viemar,,,Autos,category_only,medium
product,product_catalog,,Axial Dirección Derecho para FIAT ARGO CRONOS 17/20,https://www.importadoraeurobrasil.com/producto/axial-direccion-derecho-para-fiat-argo-cronos-17-20/,https://www.importadoraeurobrasil.com/producto/axial-direccion-derecho-para-fiat-argo-cronos-17-20/,,,a la que aplica,,,Autos,category_only,medium
category,category_only,Productos,,https://www.importadoraeurobrasil.com/productos/page/2/,,Productos,,,,,,category_only,medium
category,category_only,Productos,,https://www.importadoraeurobrasil.com/productos/page/3/,,Productos,,,,,,category_only,medium
category,category_only,Productos,,https://www.importadoraeurobrasil.com/productos/page/4/,,Productos,,,,,,category_only,medium
category,category_only,Productos,,https://www.importadoraeurobrasil.com/productos/page/41/,,Productos,,,,,,category_only,medium
category,category_only,Productos,,https://www.importadoraeurobrasil.com/productos/page/42/,,Productos,,,,,,category_only,medium
category,category_only,Productos,,https://www.importadoraeurobrasil.com/productos/page/43/,,Productos,,,,,,category_only,medium
category,category_only,CITROEN,,https://www.importadoraeurobrasil.com/categoria-producto/citroen/,,CITROEN,,,,,,category_only,medium
category,category_only,FIAT,,https://www.importadoraeurobrasil.com/categoria-producto/fiat/,,FIAT,,,,,,category_only,medium
category,category_only,FORD,,https://www.importadoraeurobrasil.com/categoria-producto/ford/,,FORD,,,,,,category_only,medium
category,category_only,PEUGEOT,,https://www.importadoraeurobrasil.com/categoria-producto/peugeot/,,PEUGEOT,,,,,,category_only,medium
