item_type,provider_type,title,product_name,detail_url,product_url,category_name,subcategory_name,brand,reference,sku,vehicle_scope,match_type,match_confidence
category,category_only,Catálogo de Repuestos Genuinos,,https://internacionaldepartes.com/productos,,Catálogo de Repuestos Genuinos,,,,,,category_only,medium
product,product_catalog,,Balinera Cluth Embrague Nissan Nv 350 Urvan Yd25 - Nissan Colombia,https://internacionaldepartes.com/productos/balinera-cluth-embrague-nissan-nv-350-urvan-yd25-colombia,https://internacionaldepartes.com/productos/balinera-cluth-embrague-nissan-nv-350-urvan-yd25-colombia,Embrague,Balinera Cluth Embrague Nissan Nv 350 Urvan Yd25,Nissan,balinera-cluth-embrague-nissan-nv-350-urvan-yd25,MCOU2416207249,,vehicle_compatible,medium
category,category_only,Catálogo de Repuestos Genuinos,,https://internacionaldepartes.com/productos/,,Catálogo de Repuestos Genuinos,,,,,,category_only,medium
product,product_catalog,,22680-3va0a Afh60m-47 Sensor Flujo De Aire Nissan - Nissan Colombia,https://internacionaldepartes.com/productos/22680-3va0a-afh60m-47-sensor-flujo-de-aire-nissan-colombia,https://internacionaldepartes.com/productos/22680-3va0a-afh60m-47-sensor-flujo-de-aire-nissan-colombia,Sensor,22680-3va0a Afh60m-47 Sensor Flujo De Aire Nissan,Nissan,22680-3va0a-afh60m-47-sensor-flujo-de-aire-nissan,MCOU3227354770,,vehicle_compatible,medium
product,product_catalog,,22680-7s000 Hitachi Original Afh70m-38 Maf Renault Koleos - Renault Colombia,https://internacionaldepartes.com/productos/22680-7s000-hitachi-original-afh70m-38-maf-renault-koleos-colombia,https://internacionaldepartes.com/productos/22680-7s000-hitachi-original-afh70m-38-maf-renault-koleos-colombia,Otros Repuestos,22680-7s000 Hitachi Original Afh70m-38 Maf Renault Koleos,Renault,22680-7s000-hitachi-original-afh70m-38-maf-renault-koleos,MCOU3008175892,,vehicle_compatible,medium
product,product_catalog,,22680-7s000 Sensor Flujo Aire Maf Hitachi Original Afh70m-38 - Internacional de Partes Colombia,https://internacionaldepartes.com/productos/22680-7s000-sensor-flujo-aire-maf-hitachi-original-afh70m-38-colombia,https://internacionaldepartes.com/productos/22680-7s000-sensor-flujo-aire-maf-hitachi-original-afh70m-38-colombia,Sensor,22680-7s000 Sensor Flujo Aire Maf Hitachi Original Afh70m-38,Internacional de Partes,22680-7s000-sensor-flujo-aire-maf-hitachi-original-afh70m-38,MCOU2889476703,,vehicle_compatible,medium
product,product_catalog,,22680-7s000 Sensor Flujo Aire Maf Original Renault Koleos - Renault Colombia,https://internacionaldepartes.com/productos/22680-7s000-sensor-flujo-aire-maf-original-renault-koleos-colombia,https://internacionaldepartes.com/productos/22680-7s000-sensor-flujo-aire-maf-original-renault-koleos-colombia,Sensor,22680-7s000 Sensor Flujo Aire Maf Original Renault Koleos,Renault,22680-7s000-sensor-flujo-aire-maf-original-renault-koleos,MCOU3175012758,,vehicle_compatible,medium
product,product_catalog,,Amortiguadores Delanteros Renault Koleos Set X2 - Renault Colombia,https://internacionaldepartes.com/productos/amortiguadores-delanteros-renault-koleos-set-x2-colombia,https://internacionaldepartes.com/productos/amortiguadores-delanteros-renault-koleos-set-x2-colombia,Amortiguador,Amortiguadores Delanteros Renault Koleos Set X2,Renault,amortiguadores-delanteros-renault-koleos-set-x2,MCOU2432181682,,vehicle_compatible,medium
product,product_catalog,,Amortiguadores Traseros Bmw 320i E90 Set X2 - BMW Colombia,https://internacionaldepartes.com/productos/amortiguadores-traseros-bmw-320i-e90-set-x2-colombia,https://internacionaldepartes.com/productos/amortiguadores-traseros-bmw-320i-e90-set-x2-colombia,Amortiguador,Amortiguadores Traseros Bmw 320i E90 Set X2,BMW,amortiguadores-traseros-bmw-320i-e90-set-x2,MCOU3102058921,,vehicle_compatible,medium
product,product_catalog,,Amortiguadores Traseros Volkswagen Jetta - Volkswagen Colombia,https://internacionaldepartes.com/productos/amortiguadores-traseros-volkswagen-jetta-colombia,https://internacionaldepartes.com/productos/amortiguadores-traseros-volkswagen-jetta-colombia,Amortiguador,Amortiguadores Traseros Volkswagen Jetta,Volkswagen,amortiguadores-traseros-volkswagen-jetta,MCOU2416781032,,vehicle_compatible,medium
