product_id,product_name,product_url,price_current,price_original,brand,reference,sku,category_name,subcategory_name,match_type,match_confidence,requires_manual_confirmation
23891,Alarma de Retroceso Vektra Tipo Pollak – Universal 12V-60V 18W,https://parrales.com.co/product/pito-12v-60v-reversa-18w-vkh-9101jn-910107090810/,35000,50000,Vektra,VKH-9101,JN-9101,Pitos,De Reversa,exact_reference,high,False
22798,AMORTIGUADOR CHEVROLET DELANTERO DERECHO (JGM5125SR),https://parrales.com.co/product/amortiguador-chevrolet-delantero-derecho-jgm5125sr/,110392,,,JGM5125SR,,Repuestos Mecanicos,Amortiguadores,exact_reference,high,False
22800,AMORTIGUADOR CHEVROLET DELANTERO IZQUIERDO (JGM5125SL V2),https://parrales.com.co/product/amortiguador-chevrolet-delantero-izquierdo-jgm5125sl-v2/,110392,500000,,JGM5125SL V2,,Repuestos Mecanicos,Amortiguadores,exact_reference,high,False
22803,AMORTIGUADOR DELANTERO RENAULT (JGM4520S),https://parrales.com.co/product/amortiguador-delantero-renault-jgm4520s/,141932,,,JGM4520S,,Repuestos Mecanicos,Amortiguadores,exact_reference,high,False
22805,AMORTIGUADOR DELANTERO RENAULT (JGM4800S),https://parrales.com.co/product/amortiguador-delantero-renault-jgm4800s/,152421,500000,,JGM4800S,,Repuestos Mecanicos,Amortiguadores,exact_reference,high,False
22807,AMORTIGUADOR TRASERO (JGT5484S),https://parrales.com.co/product/amortiguador-trasero-jgt5484s/,86736,500000,,JGT5484S,,Repuestos Mecanicos,Amortiguadores,exact_reference,high,False
24177,Amortiguadores A Gas Delantero Renault Duster 4×4 | Modelos 2010–2016I TRW,https://parrales.com.co/product/amortiguador-delantero-trw-para-renault-duster-4x4-modelos-2010-2016/,425000,500000,TRW,,JGM4700S,Repuestos Mecanicos,Amortiguadores,exact_reference,medium,False
23494,ARRQ. 12V 9D CHEVROLET AVEO / CO- RSA TIPO DELCO,https://parrales.com.co/product/arrq-12v-9d-chevrolet-aveo-co-rsa-tipo-delco/,312667,,Vektra,,,Arranques,Arranques,manual_confirmation_required,low,True
23889,Bocina de Aire Vektra Multivoltaje con Válvula – Doble Tono para Camión o Maquinaria,https://parrales.com.co/product/pito-12v-24v-corneta-aire-doble-con-valvula-vkh-1807jn-1807-12-24v0/,85000,150000,Vektra,VKH-1807,,Pitos,Cornetas,exact_reference,high,False
22770,BOMBILLO 1PATA 12V_24V LED 6000K MOTO,https://parrales.com.co/product/bombillo-1pata-12v_24v-led-6000k-moto/,41652,220000,Narva,,,Iluminacion,Bombillos Led,manual_confirmation_required,low,True
21638,BOMBILLO H3 12V/24V LED 6000K,https://parrales.com.co/product/bombillo-h3-12v-24v-led-6000k/,160000,168000,Narva,,18058,Iluminacion,Bombillos Led,exact_reference,medium,False
21640,BOMBILLO H7 12V/24V LED 6000K,https://parrales.com.co/product/bombillo-h7-12v-24v-led-6000k/,150000,220000,Narva,,18033,Iluminacion,Bombillos Led,exact_reference,medium,False
23291,BOMBILLO H7 LED ULTINON PRO 5000 HL PHILIPS,https://parrales.com.co/product/bombillo-h7-led-ultinon-pro-5000-hl-philips/,350000,220000,Philips,,1979094,Bombillos Led,Bombillos Led,exact_reference,medium,False
21636,BOMBILLO H8/H11/H16 12V/24V LED 6000K JUEGOX2,https://parrales.com.co/product/bombillo-h8-h11-h16-12v-24v-led-6000k-juegox2/,180000,150000,Narva,,18036,Iluminacion,Bombillos Led,exact_reference,medium,False
21634,BUJIA ENCENDIDO (BKR5ES),https://parrales.com.co/product/bujia-encendido-bkr5es/,22000,23000,,BKR5ES,8EH 188 704-291,Repuestos Electricos,Bujias,exact_reference,high,False
21632,BUJIA ENCENDIDO (BM6A),https://parrales.com.co/product/bujia-encendido-bm6a/,25000,35000,,BM6A,8EH 197 025-281,Repuestos Electricos,Bujias,exact_reference,high,False
21630,BUJIA ENCENDIDO (BPR5ES-11),https://parrales.com.co/product/bujia-encendido-bpr5es-11/,30000,40000,,BPR5ES-11,8EH 188 704-041,Repuestos Electricos,Bujias,exact_reference,high,False
21628,BUJIA ENCENDIDO (BPR5ES-BPR5EY),https://parrales.com.co/product/bujia-encendido-bpr5es-bpr5ey/,28000,35000,,BPR5ES-BPR5EY,,Repuestos Electricos,Bujias,exact_reference,high,False
21489,BUJIA ENCENDIDO (BPR6EF),https://parrales.com.co/product/bujia-encendido-bpr6ef/,35000,42000,,BPR6EF,,Repuestos Electricos,Bujias,exact_reference,high,False
22763,BUJIA ENCENDIDO (TR5A-13),https://parrales.com.co/product/bujia-encendido-tr5a-13/,32324,35000,,TR5A-13,,Repuestos Electricos,Bujias,exact_reference,high,False
22765,BUJIA ENCENDIDO (ZKR7A-10),https://parrales.com.co/product/bujia-encendido-zkr7a-10/,24100,40000,,ZKR7A-10,,Repuestos Electricos,Bujias,exact_reference,high,False
22761,BUJIA ENCENDIDOS (DCPR7E),https://parrales.com.co/product/bujia-encendidos-dcpr7e/,25470,23000,,DCPR7E,,Repuestos Electricos,Bujias,exact_reference,high,False
23348,CABLE BATERIA 1-0 AWG 0.6/1KVXL/- PVC COL,https://parrales.com.co/product/cable-bateria-1-0-awg-0-6-1kvxl-pvc-col/,75000,85000,,,,Cables Electricos,Bateria,manual_confirmation_required,low,True
23350,CABLE BATERIA 105 C CU 1/0 AWG S- OLUZ DIAAFLEX TPR 600V,https://parrales.com.co/product/cable-bateria-105-c-cu-1-0-awg-s-oluz-diaaflex-tpr-600v/,30000,35000,,,201508,Cables Electricos,Bateria,exact_reference,medium,False
23352,CABLE BATERIA 2-0 AWG 0.6/1KVXLP- E/PVC COL,https://parrales.com.co/product/cable-bateria-2-0-awg-0-6-1kvxlp-e-pvc-col/,90000,120000,Centelsa Valor x metro,,213669,Cables Electricos,Bateria,exact_reference,medium,False
,CABLE BATERIA 75C 2 AWG (33MM) 5- 0V,https://parrales.com.co/product/cable-bateria-75c-2-awg-33mm-5-0v/,,35000,,33MM,201501,Cables Electricos,Bateria,exact_reference,high,False
23343,CABLE ENCAUCHETADO 4X16 CENTELFLEX PLUS 600V,https://parrales.com.co/product/cable-encauchetado-4x16-centelflex-plus-600v/,750000,800000,,,,Cables Electricos,Encauchetado,manual_confirmation_required,low,True
23306,Cable MULTIFLEX TC 600V 18 AWG – 10 AWG,https://parrales.com.co/product/cable-multiflex-tc-600v-18-awg-10-awg/,562000,600000,Centelsa Ref: 213930 Tensión de Operación: 600V Valor Rollo x100 metros,,213930,Cables Electricos,Awg,exact_reference,medium,False
23310,Cable MULTIFLEX TC 600V 18 AWG – 10 AWG,https://parrales.com.co/product/cable-multiflex-tc-600v-18-awg-10-awg-2/,744000,785000,"CENTELSA Ref: 213931 90°C en lugares secos, húmedos y mojados. Tensión de Operación 600V Valor correpondiente a rollo x 100","213931 90°C en lugares secos, húmedos y mojados. Tensión de Operación 600V Valor correpondiente a rollo x…",213931,Cables Electricos,Awg,exact_reference,high,False
23313,Cable MULTIFLEX TC 600V 18 AWG – 10 AWG,https://parrales.com.co/product/cable-multiflex-tc-600v-18-awg-10-awg-3/,437000,460000,"Centelsa Ref: 213929 90°C en lugares secos, húmedos y mojados. Tensión de Operación 600V","213929 90°C en lugares secos, húmedos y mojados. Tensión de Operación 600V",,Tapetes,Tapetes,exact_reference,high,False
,CABLE NO 10 AWG 105C 600V R1 NEGRO,https://parrales.com.co/product/cable-no-10-awg-105c-600v-r1-negro/,,120000,Centelsa Ref: 201641R1NG FLEXIPLUS AWM 105°C Cu 10 AWG (J) 600V tipo:FLEX. Monopolar,,,Cables Electricos,Awg,category_only,medium,True
