item_type,provider_type,title,product_name,detail_url,product_url,category_name,subcategory_name,brand,reference,sku,vehicle_scope,match_type,match_confidence
category,category_only,Productos,,https://www.ppa-automotriz.com/productos/,,Productos,,,,,,category_only,medium
product,product_catalog,,Renault 9 / 19 / Clio 1 | Yokomitsu - Venta de Repuestos Carro,https://www.ppa-automotriz.com/producto/renault-9-19-clio-1-yokomitsu/,https://www.ppa-automotriz.com/producto/renault-9-19-clio-1-yokomitsu/,Bombas de agua,,,8150095010,8150095010,,vehicle_compatible,medium
category,category_only,Clutch,,https://www.ppa-automotriz.com/categoria-producto/clutch/,,Clutch,,,,,,category_only,medium
category,category_only,Correa de Repartición,,https://www.ppa-automotriz.com/categoria-producto/correa-de-reparticion/,,Correa de Repartición,,,,,,category_only,medium
category,category_only,Kit de repartición,,https://www.ppa-automotriz.com/categoria-producto/kit-de-reparticion/,,Kit de repartición,,,,,,category_only,medium
category,category_only,Suspensiones,,https://www.ppa-automotriz.com/categoria-producto/suspensiones/,,Suspensiones,,,,,,category_only,medium
category,category_only,FRENOS ORIGINALES PARA TU VEHÍCULO,,https://www.ppa-automotriz.com/categoria-producto/frenos-cilindro-de-frenos/,,FRENOS ORIGINALES PARA TU VEHÍCULO,,,,,,category_only,medium
product,product_catalog,,Renault Trafic 3.1.6 | H&Q - Venta de Repuestos Carro,https://www.ppa-automotriz.com/producto/renault-trafic-3-1-6-hq/,https://www.ppa-automotriz.com/producto/renault-trafic-3-1-6-hq/,Bombas de agua,,,210108796R,210108796R,,vehicle_compatible,medium
product,product_catalog,,Renault Kwid | STP - Venta de Repuestos Carro,https://www.ppa-automotriz.com/producto/renault-kwid-stp/,https://www.ppa-automotriz.com/producto/renault-kwid-stp/,Bombas de agua,,,GWMZ-57A,GWMZ-57A,,vehicle_compatible,medium
product,product_catalog,,Mégane 2 / Logan 3 / Qashqai 2.0 | Würtex - Venta de Repuestos Carro,https://www.ppa-automotriz.com/producto/megane-2-logan-3-qashqai-2-0-wurtex/,https://www.ppa-automotriz.com/producto/megane-2-logan-3-qashqai-2-0-wurtex/,Bombas de agua,,,WPS922,WPS922,,vehicle_compatible,medium
product,product_catalog,,Clio campus / Twingo 16v | Würtex - Venta de Repuestos Carro,https://www.ppa-automotriz.com/producto/clio-campus-twingo-16v-wurtex/,https://www.ppa-automotriz.com/producto/clio-campus-twingo-16v-wurtex/,Bombas de agua,,,RP23-520,RP23-520,,vehicle_compatible,medium
product,product_catalog,,Ren. Clio 1.6/ Mégane / Symb / Duster / Logan 16v | BHOrke - Venta de Repuestos Carro,https://www.ppa-automotriz.com/producto/ren-clio-1-6-megane-symb-duster-logan-16v-bhorke/,https://www.ppa-automotriz.com/producto/ren-clio-1-6-megane-symb-duster-logan-16v-bhorke/,Bombas de agua,,,A1641,A1641,,vehicle_compatible,medium
product,product_catalog,,Renault Koleos 2.5 / Nissan Xtrail 2.5 | Sores - Venta de Repuestos Carro,https://www.ppa-automotriz.com/producto/renault-koleos-2-5-nissan-xtrail-2-5-sores/,https://www.ppa-automotriz.com/producto/renault-koleos-2-5-nissan-xtrail-2-5-sores/,Bombas de agua,,,R71010,R71010,,vehicle_compatible,medium
product,product_catalog,,Renault Twingo 8v | STP - Venta de Repuestos Carro,https://www.ppa-automotriz.com/producto/renault-twingo-8v-stp/,https://www.ppa-automotriz.com/producto/renault-twingo-8v-stp/,Bombas de agua,,,A310036P,A310036P,,vehicle_compatible,medium
product,product_catalog,,Renault 9 1.4 | STP - Venta de Repuestos Carro,https://www.ppa-automotriz.com/producto/renault-9-1-4-stp/,https://www.ppa-automotriz.com/producto/renault-9-1-4-stp/,Bombas de agua,,,506347,506347,,vehicle_compatible,medium
product,product_catalog,,Renault Logan/ Sandero | Würtex - Venta de Repuestos Carro,https://www.ppa-automotriz.com/producto/renault-logan-sandero-wurtex/,https://www.ppa-automotriz.com/producto/renault-logan-sandero-wurtex/,Bombas de agua,,,1578,1578,,vehicle_compatible,medium
product,product_catalog,,Ren. Duster 2/ Mégane 2 | Würtex - Venta de Repuestos Carro,https://www.ppa-automotriz.com/producto/ren-duster-2-megane-2-wurtex/,https://www.ppa-automotriz.com/producto/ren-duster-2-megane-2-wurtex/,Bombas de agua,,,WPS-920,WPS-920,,vehicle_compatible,medium
product,product_catalog,,Válvulas admisión y escape - Venta de Repuestos Carro,https://www.ppa-automotriz.com/producto/valvulas-admision-y-escape/,https://www.ppa-automotriz.com/producto/valvulas-admision-y-escape/,Motores,,,,,,category_only,medium
product,product_catalog,,CIGUEÑALES Y PISTONES - Venta de Repuestos Carro,https://www.ppa-automotriz.com/producto/ciguenales-y-pistones/,https://www.ppa-automotriz.com/producto/ciguenales-y-pistones/,Motores,,,,,,category_only,medium
product,product_catalog,,CULATAS - Venta de Repuestos Carro,https://www.ppa-automotriz.com/producto/culatas/,https://www.ppa-automotriz.com/producto/culatas/,Motores,,,,,,category_only,medium
product,product_catalog,,Pistones y bielas - Venta de Repuestos Carro,https://www.ppa-automotriz.com/producto/pistones-y-bielas/,https://www.ppa-automotriz.com/producto/pistones-y-bielas/,Motores,,,,,,category_only,medium
product,product_catalog,,BIELETAS DE BARRA ESTABILIZADORA - Venta de Repuestos Carro,https://www.ppa-automotriz.com/producto/bieletas-de-barra-estabilizadora/,https://www.ppa-automotriz.com/producto/bieletas-de-barra-estabilizadora/,Puntas de Eje,,,,,,category_only,medium
