item_type,provider_type,title,product_name,detail_url,product_url,category_name,subcategory_name,brand,reference,sku,vehicle_scope,match_type,match_confidence
product,product_catalog,,GALLOPRO H/T,https://procar.com.co/producto/gallopro-h-t/,https://procar.com.co/producto/gallopro-h-t/,Llantas,CAMIONETA,ZMAX,,,Autos,category_only,medium
product,product_catalog,,ECOLANDER,https://procar.com.co/producto/ecolander-2/,https://procar.com.co/producto/ecolander-2/,Llantas,Auto,RAPID,,,Autos,category_only,medium
product,product_catalog,,ECOSAVER,https://procar.com.co/producto/ecosaver-2/,https://procar.com.co/producto/ecosaver-2/,Llantas,Auto,RAPID,,,Autos,category_only,medium
product,product_catalog,,EFFIVAN,https://procar.com.co/producto/effivan-2/,https://procar.com.co/producto/effivan-2/,Llantas,Auto,RAPID,,,Autos,category_only,medium
product,product_catalog,,LY166,https://procar.com.co/producto/ly166/,https://procar.com.co/producto/ly166/,Llantas,Auto,ZMAX,,,Autos,category_only,medium
product,product_catalog,,LY688,https://procar.com.co/producto/ly688/,https://procar.com.co/producto/ly688/,Llantas,Auto,ZMAX,,,Autos,category_only,medium
product,product_catalog,,P-309,https://procar.com.co/producto/p-309/,https://procar.com.co/producto/p-309/,Llantas,Auto,RAPID,,,Autos,category_only,medium
product,product_catalog,,P-609,https://procar.com.co/producto/p-609/,https://procar.com.co/producto/p-609/,Llantas,Auto,RAPID,,,Autos,category_only,medium
product,product_catalog,,X.SPIDER A/S,https://procar.com.co/producto/x-spider-a-s/,https://procar.com.co/producto/x-spider-a-s/,Llantas,Auto,ZMAX,,,Autos,category_only,medium
product,product_catalog,,ZEALION,https://procar.com.co/producto/zealion/,https://procar.com.co/producto/zealion/,Llantas,Auto,ZMAX,,,Autos,category_only,medium
product,product_catalog,,DX640,https://procar.com.co/producto/dx640/,https://procar.com.co/producto/dx640/,Llantas,Auto,DAVANTI,,,Autos,category_only,medium
product,product_catalog,,DX240,https://procar.com.co/producto/dx240/,https://procar.com.co/producto/dx240/,Llantas,Auto,DAVANTI,,,Autos,category_only,medium
product,product_catalog,,DX390,https://procar.com.co/producto/dx390/,https://procar.com.co/producto/dx390/,Llantas,Auto,DAVANTI,,,Autos,category_only,medium
product,product_catalog,,P307,https://procar.com.co/producto/p307/,https://procar.com.co/producto/p307/,Llantas,Auto,,,,Autos,category_only,medium
product,product_catalog,,P607,https://procar.com.co/producto/p607/,https://procar.com.co/producto/p607/,Llantas,Auto,,,,Autos,category_only,medium
product,product_catalog,,PROTOURA SPORT,https://procar.com.co/producto/protoura-sport/,https://procar.com.co/producto/protoura-sport/,Llantas,Auto,DAVANTI,,,Autos,category_only,medium
product,product_catalog,,DREAMLAND R/T,https://procar.com.co/producto/dreamland-r-t/,https://procar.com.co/producto/dreamland-r-t/,Llantas,CAMIONETA,ZMAX,,,Autos,category_only,medium
product,product_catalog,,MAXATRAVES M/T,https://procar.com.co/producto/maxatraves-m-t/,https://procar.com.co/producto/maxatraves-m-t/,Llantas,CAMIONETA,ZMAX,,,Autos,category_only,medium
product,product_catalog,,TERRA XPLORER C2 A/T,https://procar.com.co/producto/terra-xplorer-c2-a-t/,https://procar.com.co/producto/terra-xplorer-c2-a-t/,Llantas,CAMIONETA,ZMAX,,,Autos,category_only,medium
product,product_catalog,,VANMEJOR C30,https://procar.com.co/producto/vanmejor-c30/,https://procar.com.co/producto/vanmejor-c30/,Llantas,CAMIONETA,ZMAX,,,Autos,category_only,medium
product,product_catalog,,ECOSAVER,https://procar.com.co/producto/ecosaver/,https://procar.com.co/producto/ecosaver/,Llantas,CAMIONETA,,,,Autos,category_only,medium
product,product_catalog,,EFFIVAN,https://procar.com.co/producto/effivan/,https://procar.com.co/producto/effivan/,Llantas,CAMIONETA,,,,Autos,category_only,medium
product,product_catalog,,ECOLANDER,https://procar.com.co/producto/ecolander/,https://procar.com.co/producto/ecolander/,Llantas,CAMIONETA,,,,Autos,category_only,medium
product,product_catalog,,MUDMAXX,https://procar.com.co/producto/mudmaxx/,https://procar.com.co/producto/mudmaxx/,Llantas,CAMIONETA,,,,Autos,category_only,medium
product,product_catalog,,DX390,https://procar.com.co/producto/dx390-2/,https://procar.com.co/producto/dx390-2/,Llantas,CAMIONETA,DAVANTI,,,Autos,category_only,medium
product,product_catalog,,DX440,https://procar.com.co/producto/dx440/,https://procar.com.co/producto/dx440/,Llantas,CAMIONETA,DAVANTI,,,Autos,category_only,medium
product,product_catalog,,DX640,https://procar.com.co/producto/dx640-2/,https://procar.com.co/producto/dx640-2/,Llantas,CAMIONETA,DAVANTI,,,Autos,category_only,medium
product,product_catalog,,DX740® H/T,https://procar.com.co/producto/dx740-h-t/,https://procar.com.co/producto/dx740-h-t/,Llantas,CAMIONETA,DAVANTI,,,Autos,category_only,medium
product,product_catalog,,TERRATOURA A/T,https://procar.com.co/producto/terratoura-a-t/,https://procar.com.co/producto/terratoura-a-t/,Llantas,CAMIONETA,DAVANTI,,,Autos,category_only,medium
product,product_catalog,,FILTRO DF-FC127M,https://procar.com.co/producto/filtro-df-fc127m/,https://procar.com.co/producto/filtro-df-fc127m/,FILTROS,COMBUSTIBLE,ELEMFIL,,,,category_only,medium
product,product_catalog,,FILTRO DF1212,https://procar.com.co/producto/filtro-df1212/,https://procar.com.co/producto/filtro-df1212/,FILTROS,COMBUSTIBLE,ELEMFIL,,,,category_only,medium
